Date,Amount,Type,Category,Notes
2026-08-19,239.99,Variable,Education - Printing,pen drive for project
2026-08-20,50.99,Variable,Education - Courses,pen drive for project
2026-08-20,126.95,Variable,Personal Care,medicine - cold
2026-08-20,46.95,Variable,Food & Dining - Restaurants,packed dinner from canteen
2026-08-22,340.00,Variable,Entertainment - Games,drinks at cafe
2026-08-22,63.95,Variable,Education - Courses,exam fee
2026-08-23,100.99,Variable,Food & Dining - Restaurants,idli sambhar from stall
2026-08-23,191.00,Variable,Food & Dining - Restaurants,
2026-08-23,57.00,Variable,Education - Printing,stationery from crossword
2026-08-24,82.99,Variable,Food & Dining - Groceries,coffee and work
2026-08-25,132.99,Variable,Transportation - Fuel,rapido to college
2026-08-27,70.00,Variable,Food & Dining - Restaurants,dominos pizza fri night
2026-08-27,292.95,Variable,Food & Dining - Groceries,ate out with batch
2026-08-28,79.00,Variable,Food & Dining - Groceries,zomato order - too lazy to cook
